wb2,wm7,cm1,cm8,cm9a,cm9b,cm10,ma1,ma5,ind_id,women_WM,wmweight,ta1,ta2,ta3,ta4,ta5,ta6,ta7,ta8a,ta8b,ta8c,ta8d,ta8x,ta9,ta10,ta11,ta12a,ta12b,ta12d,ta12e,ta12x,ta13,ta14,ta15,ta16,ta17
19,1,2,2,NA,NA,0,1,NA,200204,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
35,1,1,2,NA,NA,4,1,NA,200302,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
40,1,1,1,2,2,12,1,NA,200402,1,0.23280568183886508,1,20,1,4,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,15,30,1
40,1,1,1,1,0,5,1,NA,200501,1,0.23280568183886508,1,5,1,5,30,1,2,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
20,1,2,2,NA,NA,0,3,3,200503,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
30,1,1,2,NA,NA,2,1,NA,200603,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,19,3,1
18,1,2,2,NA,NA,0,3,3,200607,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
22,1,1,2,NA,NA,1,1,NA,200704,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
35,1,1,2,NA,NA,4,1,NA,200802,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,22,30,1
43,1,1,1,1,0,6,1,NA,200902,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,0,NA
42,1,1,1,2,1,7,1,NA,201002,1,0.23280568183886508,1,24,1,5,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,10,1
NA,2,NA,NA,NA,NA,NA,NA,NA,201103,1,0,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,,,,,,NA,NA,NA,NA,NA
NA,2,NA,NA,NA,NA,NA,NA,NA,201109,1,0,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,,,,,,NA,NA,NA,NA,NA
42,1,1,2,NA,NA,6,1,NA,201202,1,0.23280568183886508,1,6,2,NA,NA,2,NA,,,,,,NA,1,1,A,,,E,,5,1,7,30,1
17,1,2,2,NA,NA,0,3,3,201203,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,12,0,NA
27,1,1,2,NA,NA,4,1,NA,201402,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
48,1,1,2,NA,NA,5,1,NA,201502,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,22,0,NA
25,1,2,2,NA,NA,0,1,NA,201503,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
20,1,2,2,NA,NA,0,1,NA,201603,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,3
37,1,1,2,NA,NA,4,1,NA,201701,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,1
24,1,1,2,NA,NA,2,1,NA,201902,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,30,1
20,1,1,2,NA,NA,1,1,NA,202004,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,15,30,3
42,1,1,2,NA,NA,5,1,NA,202202,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,15,30,3
36,1,1,2,NA,NA,3,1,NA,202302,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
16,1,2,2,NA,NA,0,3,3,202303,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
27,1,1,2,NA,NA,1,1,NA,202404,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
48,1,1,2,NA,NA,5,1,NA,202502,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,0,NA
21,1,1,2,NA,NA,2,1,NA,202503,1,0.23280568183886508,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
46,1,1,2,NA,NA,1,1,NA,300102,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,1
42,1,1,2,NA,NA,7,1,NA,300202,1,0.23352644246375323,1,18,2,NA,NA,2,NA,,,,,,NA,1,1,A,,,E,,30,1,21,30,4
24,1,1,2,NA,NA,1,1,NA,300203,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,11,10,3
19,1,2,2,NA,NA,0,3,3,300204,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
41,1,1,2,NA,NA,5,1,NA,300302,1,0.23352644246375323,1,10,1,4,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,9,30,3
15,1,2,2,NA,NA,0,3,3,300304,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
43,1,1,1,2,0,8,1,NA,300402,1,0.23352644246375323,1,12,1,10,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,6,30,3
48,1,1,2,NA,NA,6,1,NA,300502,1,0.23352644246375323,1,8,1,5,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,3
18,1,2,2,NA,NA,0,1,NA,300504,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
18,1,2,2,NA,NA,0,3,3,300510,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
34,1,1,1,0,1,5,1,NA,300602,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
36,1,1,2,NA,NA,3,1,NA,300702,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,30,2
27,1,2,2,NA,NA,0,1,NA,300804,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
20,1,2,2,NA,NA,0,3,3,300805,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,15,30,3
43,1,1,1,0,1,8,1,NA,301002,1,0.23352644246375323,1,15,1,4,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,6,30,3
21,1,2,2,NA,NA,0,3,3,301004,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,6,0,NA
18,1,2,2,NA,NA,0,3,3,301005,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,0,NA
22,1,2,2,NA,NA,0,1,NA,301105,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
39,1,1,2,NA,NA,5,1,NA,301202,1,0.23352644246375323,1,15,1,2,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,3
22,1,1,2,NA,NA,1,1,NA,301303,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
48,1,1,1,0,1,6,1,NA,301402,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,9,30,4
16,1,2,2,NA,NA,0,3,3,301403,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,0,NA
41,1,2,2,NA,NA,0,1,NA,301502,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
37,1,1,2,NA,NA,3,1,NA,301602,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,6,30,2
17,1,2,2,NA,NA,0,3,3,301704,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
45,1,1,2,NA,NA,5,1,NA,301902,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,A,,,,,30,1,6,30,3
22,1,1,2,NA,NA,1,1,NA,302002,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
29,1,1,2,NA,NA,3,1,NA,302101,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,18,30,2
24,1,1,2,NA,NA,3,1,NA,302202,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,0,NA
29,1,1,1,1,0,7,1,NA,302402,1,0.23352644246375323,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,8,30,3
30,1,1,2,NA,NA,2,1,NA,400202,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
19,1,1,2,NA,NA,1,1,NA,400304,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,8,0,NA
26,1,1,2,NA,NA,1,1,NA,400403,1,0.21517341582026045,1,25,1,1,10,2,NA,,,,,,NA,2,NA,,,,,,NA,1,23,30,3
21,1,2,2,NA,NA,0,3,3,400603,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
20,1,2,2,NA,NA,0,3,3,400604,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
31,1,1,2,NA,NA,3,1,NA,400702,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,4
49,1,1,2,NA,NA,3,3,1,400801,1,0.21517341582026045,1,10,1,10,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,4
16,1,1,2,NA,NA,1,1,NA,400803,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,16,30,2
20,1,1,2,NA,NA,2,1,NA,400806,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,16,30,2
48,1,1,2,NA,NA,4,1,NA,400902,1,0.21517341582026045,1,20,1,5,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,6
17,1,2,2,NA,NA,0,1,NA,400905,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
44,1,1,2,NA,NA,3,1,NA,401002,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,1
20,1,2,2,NA,NA,0,1,NA,401004,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
34,1,1,2,NA,NA,3,1,NA,401202,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,15,30,3
42,1,1,2,NA,NA,6,1,NA,401302,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,3
19,1,2,2,NA,NA,0,3,3,401303,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
17,1,2,2,NA,NA,0,3,3,401304,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,1
35,1,1,2,NA,NA,2,1,NA,401704,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,15,30,3
24,1,2,2,NA,NA,0,3,3,402004,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,30,2
47,1,1,1,1,2,5,1,NA,402202,1,0.21517341582026045,1,10,1,5,30,2,NA,,,,,,NA,1,1,,,,E,,30,1,10,30,3
48,1,1,1,4,0,9,1,NA,402302,1,0.21517341582026045,1,12,1,4,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,4
23,1,1,2,NA,NA,1,1,NA,402305,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,7,30,3
17,1,2,2,NA,NA,0,3,3,402307,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,11,0,NA
47,1,1,1,1,3,8,1,NA,402402,1,0.21517341582026045,1,18,1,12,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,20,30,4
21,1,1,2,NA,NA,1,1,NA,402404,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,17,0,NA
29,1,1,1,1,0,2,1,NA,402502,1,0.21517341582026045,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,13,30,2
38,1,2,2,NA,NA,0,3,3,500102,1,0.20735728746781504,1,10,1,1,30,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,30,3
30,1,1,2,NA,NA,2,1,NA,500103,1,0.20735728746781504,1,25,1,4,30,1,2,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
42,1,1,2,NA,NA,5,1,NA,500202,1,0.20735728746781504,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,1,23,30,1
